"","POS_mm","RghtLft","SECTION","volume","volume D","volume V","index","index D","index V","mb","set","src","position"
"4073",23.6,"left","proximal",2e-04,0,0.001,2.3674,1.5043,3.2305,"MB21",1,"MB21-1","left proximal"
"4362",23.6,"left","proximal",0.0026,0.0015,0.0011,4.2688,6.4976,2.04,"MB21",2,"MB21-2","left proximal"
"674",23.6,"left","proximal",0.0051,0.0026,0.0025,6.2729,11.7567,0.7892,"MB12",1,"MB12-1","left proximal"
"3783",23.6,"left","proximal",0.00039425,0.00013275,0.00045,1.2001,1,1.4002,"MB19",2,"MB19-2","left proximal"
"2316",23.6,"left","proximal",0,0,0,0,0,0,"MB17",1,"MB17-1","left proximal"
"3484",23.6,"right","distal",0.0003035,0.00015225,0.000161,2.3476,2.6777,2.0176,"MB19",1,"MB19-1","right distal"
"1424",23.6,"right","distal",0.001881,0.000962,0.00091925,4.7208,5.2107,4.2308,"MB13",2,"MB13-2","right distal"
"1136",23.6,"right","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","right distal"
"3163",23.6,"right","medial",0.0005425,0.00018125,0.0004445,3.5152,0.925,6.1053,"MB18",2,"MB18-2","right medial"
"2838",23.6,"right","medial",0.000843,0.00033975,0.0005665,2.897,1.1095,4.6844,"MB18",1,"MB18-1","right medial"
"4612",23.6,"right","medial",0.00364275,0.00160025,0.0035355,5.3465,4.3158,6.3773,"MB22",1,"MB22-1","right medial"
"4970",23.6,"right","medial",0,0,0,0,0,0,"MB22",2,"MB22-2","right medial"
"2575",23.6,"right","proximal",0.0003505,9.65e-05,0.00028525,0.7787,0.9212,0.6363,"MB17",2,"MB17-2","right proximal"
"2037",23.6,"right","proximal",0.00323125,0.00028375,0.00320625,4.7615,0.451,9.0721,"MB14",2,"MB14-2","right proximal"
"3485",23.7,"left","distal",0.000169,0.000132,3.7e-05,0.9901,1.8193,0.1609,"MB19",1,"MB19-1","left distal"
"1137",23.7,"left","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","left distal"
"1425",23.7,"left","distal",0,0,0,0,0,0,"MB13",2,"MB13-2","left distal"
"4971",23.7,"left","medial",7.3e-05,3.375e-05,5.325e-05,0.682,0.9664,0.3975,"MB22",2,"MB22-2","left medial"
"3164",23.7,"left","medial",0.000421,6.55e-05,0.0004515,3.0404,0.1476,5.9332,"MB18",2,"MB18-2","left medial"
"4613",23.7,"left","medial",0.00270225,7.975e-05,0.00369725,2.3536,0.2685,4.4387,"MB22",1,"MB22-1","left medial"
"2839",23.7,"left","medial",0.00286525,0.000247,0.00279275,4.5988,3,6.1975,"MB18",1,"MB18-1","left medial"
"2576",23.7,"left","proximal",0.00295825,0.00056075,0.00251125,3.499,2.077,4.9209,"MB17",2,"MB17-2","left proximal"
"2038",23.7,"left","proximal",0.006822,0.0046405,0.0021895,5.9026,7.035,4.7703,"MB14",2,"MB14-2","left proximal"
"5324",23.7,"right","medial",2e-04,1e-04,1e-04,0.7447,1.2948,0.1945,"MB23",1,"MB23-1","right medial"
"5718",23.7,"right","medial",7e-04,0,7e-04,1.6657,1.0282,2.3033,"MB23",2,"MB23-2","right medial"
"1705",23.7,"right","medial",3.05e-05,0,0.00173,1.9946,0,3.9891,"MB14",1,"MB14-1","right medial"
"3784",23.7,"right","proximal",0,0,2.325e-05,0.6945,1.25,0.1391,"MB19",2,"MB19-2","right proximal"
"4074",23.7,"right","proximal",0.0011,2e-04,9e-04,5.6398,5.75,5.5296,"MB21",1,"MB21-1","right proximal"
"675",23.7,"right","proximal",0.0015,0.0013,4e-04,5.7337,11,0.4673,"MB12",1,"MB12-1","right proximal"
"4363",23.7,"right","proximal",0.0066,0.0029,0.0037,7.3386,5.0486,9.6286,"MB21",2,"MB21-2","right proximal"
"2317",23.7,"right","proximal",0.00178725,0.00094875,0.00083875,4.0622,4.7227,3.4017,"MB17",1,"MB17-1","right proximal"
"5719",23.8,"left","medial",2e-04,0,5e-04,1.2825,1.5,1.065,"MB23",2,"MB23-2","left medial"
